n,iterative,recursive,tail
3420,0.0036109430002397858,2.8922000637976453e-05,0.0014459800004260615
3433,0.003613595999922836,3.211399962310679e-05,0.0014256520007620566
3446,0.003730504999111872,3.079700036323629e-05,0.00145930999860866
3459,0.0037109750010131393,4.276999970898032e-05,0.0014580659990315326
3472,0.0036512870028673206,2.9098002414684743e-05,0.0014690450007037725
3485,0.00371800299762981,2.6931000320473686e-05,0.0014563980003003962
3498,0.003681016998598352,2.967899854411371e-05,0.0014665250018879306
3511,0.0038048919996072073,3.07039990730118e-05,0.0017629129979468416
3524,0.003789260001212824,2.9926999559393153e-05,0.0014759789992240258
3537,0.0037547819993051235,2.9689002985833213e-05,0.0015006300018285401
3550,0.0037079490030009765,3.225899854442105e-05,0.0015332630027842242
3563,0.0037843669997528195,3.07039990730118e-05,0.0015096069982973859
3576,0.0037620599978254177,2.9812999855494127e-05,0.0014909059973433614
3589,0.0038381779995688703,3.099500099779107e-05,0.001536290001240559
3602,0.0037808220004080795,2.9760998586425558e-05,0.0015574049975839444
3615,0.003851425000902964,2.997900082846172e-05,0.0015572079973935615
3628,0.003836093997961143,2.9513001209124923e-05,0.0016592730025877245
3641,0.0038864429989189375,2.9749997338512912e-05,0.0015827819988771807
3654,0.0038712150017090607,3.379400004632771e-05,0.0015390150001621805
3667,0.003919727998436429,3.042499884031713e-05,0.0016038450012274552
3680,0.0038831249985378236,3.0154998967191204e-05,0.0015883679989201482
3693,0.0039168359980976675,3.176199970766902e-05,0.0015933860013319645
3706,0.0039491259994974826,2.8485999791882932e-05,0.0016287750004266854
3719,0.004059327999129891,3.0258001061156392e-05,0.0015638730001228396
3732,0.00409642899830942,3.1742001738166437e-05,0.0016049339974415489
3745,0.004041115000291029,3.0383998819161206e-05,0.0016255199989245739
3758,0.003985128001659177,3.237300188629888e-05,0.001606674999493407
3771,0.004037237999000354,3.600100171752274e-05,0.0016155070006789174
3784,0.003994000999227865,3.0952996894484386e-05,0.0016270339983748272
3797,0.004040782998345094,3.0745999538339674e-05,0.0016061570022429805
3810,0.0040275150022353046,3.25599976349622e-05,0.0015946089988574386
3823,0.004064988002937753,4.116399941267446e-05,0.0016139110011863522
3836,0.0040870060001907405,2.8900998586323112e-05,0.0017557399987708777
3849,0.004125299001316307,3.2601998100290075e-05,0.0018699840002227575
3862,0.004228182999213459,6.813700019847602e-05,0.0016535920003661886
3875,0.00425985100082471,3.166899841744453e-05,0.0016738270023779478
3888,0.0041888119994837325,2.9191000066930428e-05,0.0016450090006401297
